Size, Time, S?F, Avg_time
1000, 5.746327, Successful, 5.80504940000000000000
2000, 40.422452, Successful, 41.68817900000000000000
3000, 142.653108, Successful, 143.30376640000000000000
4000, 336.490272, Successful, 335.48585960000000000000
5000, 693.573679, Successful, 692.45198620000000000000
6000, 1181.867564, Successful, 1179.89696580000000000000
7000, 1962.999985, Successful, 1962.27954180000000000000
8000, 2833.664341, Successful, 2831.70966240000000000000
9000, 4269.195020, Successful, 4261.40773040000000000000
10000, 5591.847227, Successful, 5589.95549720000000000000
